OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
israchz040221A	3	lGP033260.MP4	8073	rGP033618.MP4	9806	28.87134	Time seabed	21.86935	267.92447	-1025.17364	-3958.39572	1.54936	3.90539	14.70171	0.24138	4097.76295	15.21968	Labridae	Thalassoma	pavo	2500	1	AD	Passing			
israchz040221A	8	lGP033260.MP4	21159	rGP033618.MP4	22892	32.50998	Time seabed	25.50798	1869.48120	-152.95566	-4467.97307	8.00740	1.50405	19.55579	2.92695	4845.73408	22.79435	Labridae	Coris	julis	58	11	F	Passing			
israchz040221B	14	lGP044873.MP4	7311	rGP048375.MP4	8197	37.53500	Time seabed	31.66219	-848.99680	-328.82394	-1496.84694	1.19399	0.65299	2.21664	0.21268	1751.99073	31.45767	Sparidae	Pagrus	caeruleostictus	4540	1	AD	Passing			
israchz040221B	15	lGP044873.MP4	29235	rGP048375.MP4	30121	43.63109	Time seabed	37.75828	1029.58946	-528.21360	-1866.68889	1.72079	1.04016	3.17484	1.25131	2196.26762	31.98123	Scorpaenidae	Pterois	miles	7797	1	AD	Passing			
israchz040221D	0	lGP084874.MP4	11649	rGP088376.MP4	12632	74.24334	Time seabed	58.16616	89.20717	-48.22592	-804.58304	0.27790	0.26046	0.66445	0.23411	810.94854	7.38402	Tetraodontidae	Lagocephalus	guentheri	28209	1	AD	Passing			
israchz040221D	1	lGP084874.MP4	11649	rGP088376.MP4	12632	74.24334	Time seabed	58.16616	86.48757	-134.21753	-1059.31137	0.35563	0.35879	1.11933	0.92831	1071.27728	8.91358	Tetraodontidae	Lagocephalus	guentheri	28209	1	AD	Passing			
israchz040221E	8	rGP063620.MP4	1753	lGP063262.MP4	798	53.74063	Time seabed	37.45214	-49.94594	180.81817	-1129.97933	0.37188	0.40380	1.26901	0.70056	1145.44450	9.19323	Tetraodontidae	Lagocephalus	sceleratus	4761	2	AD	Passing			
israchz040221E	10	rGP063620.MP4	13552	lGP063262.MP4	12597	57.02141	Time seabed	40.73291	-403.13113	763.83405	-2536.26521	1.21080	1.96851	6.17056	1.93506	2679.29065	18.59228	Sparidae	Boops	boops	203	1	AD	Passing			
israchz040221E	11	rGP083620.MP4	1695	lGP083262.MP4	740	71.47557	Time seabed	55.18708	-475.83444	336.20175	-1942.97420	1.02319	0.85996	3.68926	0.05020	2028.44738	16.55376	Sparidae	Pagellus	erythrinus	893	2	AD	Passing			
israchz040221F	5	lGP074875.MP4	27956	rGP078377.MP4	28989	69.90205	Time seabed	54.84034	-41.56084	-139.43904	-1230.99066	0.40071	0.41591	1.49071	0.64014	1239.55982	7.12870	Nemipteridae	Nemipterus	randalli	5852	8	AD	Passing			
israchz040221G	0	lGOPR3263.MP4	28002	rGOPR3621.MP4	28852	7.78611	Time landing	0.00000	2.24195	-94.26901	-521.15966	0.19383	0.18164	0.30706	0.21378	529.62162	10.49725	Trichiuridae	Trichiurus	lepturus	1288	1	AD	Passing			
israchz040221G	3	lGP073263.MP4	9282	rGP073621.MP4	10132	64.70964	Time seabed	54.65432	149.08343	-100.53092	-978.14214	0.34315	0.32425	0.97300	0.37155	994.53225	10.55329	Sparidae	Pagellus	acarne	889	4	AD	Passing			
israchz040221H	0	lGP014876.MP4	5149	rGP018378.MP4	6349	10.30724	Time seabed	0.00000	-15.32314	-143.50638	-691.95119	0.24077	0.24443	0.50650	0.70959	706.84179	12.18283	Trichiuridae	Trichiurus	lepturus	1288	1	AD	Passing			
israchz040221H	3	lGP054876.MP4	20227	rGP058378.MP4	21427	50.00190	Time seabed	39.69465	88.15305	85.41511	-875.82288	0.29981	0.29083	0.77979	0.88153	884.38251	7.70260	Scombridae	Scomber	colias	54736	1	AD	Passing			
israchz040221H	4	lGP054876.MP4	20227	rGP058378.MP4	21427	50.00190	Time seabed	39.69465	385.11013	140.42091	-1254.23009	0.57798	0.43487	1.55051	6.91491	1319.51543	17.96422	Scombridae	Scomber	colias	54736	1	AD	Passing			
israchz040221H	5	lGP054876.MP4	20227	rGP058378.MP4	21427	50.00190	Time seabed	39.69465	527.19387	100.42297	-1173.30861	0.65425	0.38928	1.32359	0.50482	1290.22139	24.50692	Scombridae	Scomber	colias	54736	1	AD	Passing			
israchz040221H	6	lGP054876.MP4	20227	rGP058378.MP4	21427	50.00190	Time seabed	39.69465	149.00610	205.46912	-1398.57932	0.48167	0.52366	1.90473	1.45605	1421.42340	9.96205	Scombridae	Scomber	colias	54736	1	AD	Passing			
israchz040221H	7	lGP054876.MP4	20227	rGP058378.MP4	21427	50.00190	Time seabed	39.69465	-73.93312	203.94642	-1529.36976	0.49651	0.57023	2.26204	5.97109	1544.67864	7.69505	Scombridae	Scomber	colias	54736	18	AD	Passing			
israchz040221H	8	lGP054876.MP4	20227	rGP058378.MP4	21427	50.00190	Time seabed	39.69465	506.64780	346.81666	-1691.70935	0.92740	0.78808	2.78631	0.76952	1799.68173	19.72236	Scombridae	Scomber	colias	54736	1	AD	Passing			
israchz040221H	15	lGP074876.MP4	12475	rGP078378.MP4	13675	65.59748	Time seabed	55.29024	-73.11633	-266.58930	-916.62653	0.31134	0.37413	0.85939	0.17174	957.40276	17.17169	Sparidae	Pagellus	acarne	889	9	AD	Passing			
israchz040221H	21	lGP074876.MP4	20387	rGP078378.MP4	21587	67.79745	Time seabed	57.49021	-508.18770	-221.99806	-1376.61419	0.76014	0.52297	1.92274	0.59250	1484.11742	22.10626	Sparidae	Boops	boops	203	1	AD	Passing			
israchz040221H	23	lGP074876.MP4	25394	rGP078378.MP4	26594	69.18968	Time seabed	58.88243	-1.37222	-104.46454	-513.68735	0.18378	0.17904	0.28670	0.55079	524.20360	11.89957	Carangidae	Trachurus	mediterraneus	1278	1	AD	Passing			
israchz091121A	4	lGP023305.MP4	6223	rGP023661.MP4	5002	19.48141	Time seabed	13.42063	964.86508	-318.14808	-2770.25067	2.60548	1.17887	7.50374	2.23558	2950.67308	20.24201	Labridae	Thalassoma	pavo	2500	1	AD	Passing			
israchz091121A	8	lGP033305.MP4	38	rGP023661.MP4	30738	26.63717	Time seabed	20.57639	832.56673	-476.65335	-2164.76499	1.78843	1.19324	4.68200	3.00578	2367.82036	24.06126	Sparidae	Diplodus	sargus sargus	1753	2	AD	Passing			
israchz091121A	18	lGP043305.MP4	6021	rGP043661.MP4	4800	37.17631	Time seabed	31.11553	1933.10155	-220.31511	-4048.19663	7.53223	1.48202	16.23561	2.18343	4491.47151	25.70744	Mullidae	Parupeneus	forsskali	10994	4	AD	Passing			
israchz091121A	19	lGP043305.MP4	27383	rGP043661.MP4	26163	43.11613	Time seabed	37.05535	-1947.00350	94.29965	-5224.14818	9.76755	1.72806	26.48904	3.49944	5575.96980	20.44900	Tetraodontidae	Torquigener	flavimaculosus	26639	1	AD	Passing			
israchz091121A	28	lGP053305.MP4	18344	rGP053661.MP4	17124	49.47832	Time seabed	43.41754	-350.67591	198.73316	-4047.06878	1.77143	1.48852	15.22017	12.65113	4067.09161	5.53751	Siganidae	Siganus	rivulatus	4545	42	AD	Passing			
israchz091121B	7	lGP064915.MP4	1557	rGP068416.MP4	3304	53.68613	Time seabed	46.28179	1836.44346	850.10449	-10664.01948	18.16576	9.68605	105.10207	23.16852	10854.33157	10.58399	Scombridae	Scomberomorus	commerson	121	1	AD	Passing			
israchz091121B	14	lGP064915.MP4	20691	rGP068416.MP4	22438	59.00645	Time seabed	51.60211	-480.42121	-25.14904	-1657.70266	0.88006	0.51963	2.72909	0.17193	1726.09824	16.20869	Tetraodontidae	Lagocephalus	suezensis	55076	7	AD	Passing			
israchz091121D	2	lGP014916.MP4	9863	rGP018417.MP4	11226	11.61800	Time seabed	4.91825	-78.41846	-480.13499	-3073.90514	0.97440	1.61462	8.87279	0.62135	3112.16514	9.39197	Nemipteridae	Nemipterus	randalli	5852	1	AD	Passing			
israchz091121D	3	lGP014916.MP4	9863	rGP018417.MP4	11226	11.61800	Time seabed	4.91825	-355.77875	-470.77550	-2994.21682	1.33220	1.56182	8.48450	0.81782	3051.80970	11.47336	Nemipteridae	Nemipterus	randalli	5852	1	AD	Passing			
israchz091121D	4	lGP014916.MP4	9863	rGP018417.MP4	11226	11.61800	Time seabed	4.91825	795.48375	-477.79577	-1934.69426	1.49756	1.04473	3.61078	1.97271	2145.72251	25.83395	Nemipteridae	Nemipterus	randalli	5852	2	AD	Passing			
israchz091121D	7	lGP074916.MP4	15651	rGP078417.MP4	17014	66.48058	Time seabed	59.78083	1141.65734	-384.65532	-2820.89727	3.05028	1.30982	7.66276	0.45531	3067.37715	23.25764	Tetraodontidae	Lagocephalus	suezensis	55076	1	AD	Passing			
israchz091121E	0	lGP013307.MP4	10900	rGP013663.MP4	11908	11.90634	Time seabed	5.00361	-796.79445	-389.74405	-1520.46218	1.19401	0.75027	2.34573	7.42651	1760.28040	30.36525	Nemipteridae	Nemipterus	randalli	5852	1	AD	Passing			
israchz091121G	0	lGP013308.MP4	23194	rGP013664.MP4	24195	15.32475	Time seabed	6.44922	860.03501	-421.03953	-1543.57413	1.31083	0.80881	2.45580	0.16178	1816.46789	31.92053	Sparidae	Dentex	macrophthalmus	438	1	AD	Passing			
israchz091121G	2	lGP073308.MP4	15248	rGP073664.MP4	16249	66.36852	Time seabed	57.49299	716.36085	-446.88413	-1501.08772	1.08805	0.81666	2.31545	0.26530	1722.24930	29.48504	Sparidae	Dentex	maroccanus	4538	1	AD	Passing			
israchz091121H	6	lGP034918.MP4	27262	rGP038419.MP4	29486	34.20695	Time seabed	30.98429	1307.24766	166.29232	-3775.68094	4.66738	1.35683	13.62480	1.55910	3999.03940	19.19301	Carangidae	Caranx	crysos	1933	1	AD	Passing			
israchz091121H	8	lGP034918.MP4	27388	rGP038419.MP4	29612	34.24199	Time seabed	31.01932	2884.54171	960.77433	-6497.88546	17.18181	6.40530	39.53955	6.47731	7173.99356	24.94995	Carangidae	Caranx	crysos	1933	1	AD	Passing			
israchz091121I	2	lGP013309.MP4	19618	rGP013665.MP4	20788	14.33043	Time seabed	0.00000	299.12438	-160.99718	-1081.50111	0.44270	0.38200	1.19624	2.13609	1133.59611	17.55319	Nemipteridae	Nemipterus	randalli	5852	2	AD	Passing			
israchz091121I	11	lGP073309.MP4	28459	rGP073665.MP4	29629	70.04192	Time seabed	55.71149	-282.68197	-39.57701	-1390.16303	0.55528	0.43702	1.90583	0.11925	1419.16479	11.63905	Tetraodontidae	Lagocephalus	suezensis	55076	8	AD	Passing			
israchz091121J	1	lGP014919.MP4	22244	rGP018420.MP4	23189	15.06060	Time seabed	10.03808	-621.36590	-317.44037	-1875.66029	1.20598	0.80841	3.49524	0.14640	2001.24099	20.59211	Labridae	Thalassoma	pavo	2500	2	AD	Passing			
israchz091121J	3	lGP034919.MP4	1329	rGP038420.MP4	2274	26.99614	Time seabed	21.97362	-2028.21671	-104.82228	-4025.81365	7.46749	1.28122	15.50585	0.59818	4509.08264	26.79346	Siganidae	Siganus	rivulatus	4545	1	AD	Passing			
israchz091121J	7	lGP034919.MP4	1405	rGP038420.MP4	2350	27.01727	Time seabed	21.99475	-1507.05689	-31.63254	-4174.54739	5.95826	1.29767	16.80804	0.74929	4438.36310	19.86657	Siganidae	Siganus	rivulatus	4545	1	AD	Passing			
israchz091121J	11	lGP034919.MP4	1758	rGP038420.MP4	2703	27.11542	Time seabed	22.09290	391.31784	-9.21669	-3303.07660	1.53981	1.01612	10.22033	0.04426	3326.18846	6.77970	Siganidae	Siganus	rivulatus	4545	1	AD	Passing			
israchz091121J	12	lGP034919.MP4	1758	rGP038420.MP4	2703	27.11542	Time seabed	22.09290	160.28559	-54.15518	-3368.62245	1.14270	1.03852	10.58569	0.01592	3372.86844	3.02863	Siganidae	Siganus	rivulatus	4545	4	AD	Passing			
israchz091121J	29	lGP054919.MP4	27194	rGP058420.MP4	28139	51.93911	Time seabed	46.91659	-126.89393	-231.46766	-1683.56489	0.56336	0.62924	2.73264	0.05204	1704.13324	9.26686	Labridae	Coris	julis	58	1	AD	Passing			
israchz091121J	30	lGP054919.MP4	27194	rGP058420.MP4	28139	51.93911	Time seabed	46.91659	424.12058	-921.64060	-3336.19870	1.64017	2.98023	10.51675	1.51715	3487.05054	17.28205	Labridae	Coris	julis	58	1	AD	Passing			
israchz091121J	32	lGP064919.MP4	26491	rGP068420.MP4	27436	60.61917	Time seabed	55.59665	1093.13206	-157.47164	-1951.09775	1.94055	0.65718	3.54775	0.13931	2241.98961	29.57197	Labridae	Coris	julis	58	1	M	Passing			
israchz131119A	5	ldisrachz131119A.MP4	3658	rdisrachz131119A.MP4	9620	27.64373	Time seabed	4.69469	-353.94736	-353.88073	-3948.51965	1.88912	1.71930	14.93490	0.50144	3980.11529	7.64999	Mullidae	Parupeneus	forsskali	10994	35	AD	Passing			
israchz131119A	13	liisrachz131119A.MP4	21248	riisrachz131119A.MP4	27210	76.91239	Time seabed	53.96335	30.25988	-454.34294	-1404.95704	0.46753	0.75694	1.99458	3.03555	1476.90468	18.54272	Gobiidae	Gobius	bucchichi	46334	2	AD	Passing			
israchz260422A	12	lGP054947.MP4	26173	rGP058448.MP4	26963	51.65521	Time seabed	33.90415	4.72187	-153.59739	-836.28881	0.28304	0.29348	0.71894	1.44950	850.29020	10.80963	Sparidae	Pagellus	erythrinus	893	4	J	Passing	1		
israchz260422B	0	lGP013336.MP4	14925	rGP013692.MP4	15881	13.02551	Time seabed	7.99688	1877.71551	2417.10401	-9058.18932	15.95609	21.09174	76.87777	2.52110	9561.32841	18.41941	Carangidae	Seriola	dumerili	1005	1	AD	Passing			
israchz260422B	3	lGP033336.MP4	24844	rGP033692.MP4	25800	33.53461	Time seabed	28.50598	3123.94226	337.58738	-8116.49213	24.00871	3.89730	63.19726	18.53775	8703.47201	21.13090	Sparidae	Diplodus	cervinus	2497	3	AD	Passing			
israchz260422B	5	lGP043336.MP4	31038	rGP053692.MP4	74	44.13242	Time seabed	39.10379	-2406.85993	222.08053	-8267.30437	18.72563	3.29977	64.72471	1.66426	8613.39747	16.27089	Siganidae	Siganus	rivulatus	4545	5	AD	Passing			
israchz260422B	6	lGP053336.MP4	13251	rGP053692.MP4	14207	48.06218	Time seabed	43.03355	2251.25977	2090.94989	-8526.30694	18.01913	17.36321	68.58800	0.27117	9063.01010	19.60136	Pomacentridae	Chromis	chromis	1706	1	AD	Passing			
israchz260422B	7	lGP053336.MP4	13251	rGP053692.MP4	14207	48.06218	Time seabed	43.03355	2191.55227	2188.34486	-7890.91625	16.27265	16.80882	58.95248	0.60141	8476.92832	21.20518	Pomacentridae	Chromis	chromis	1706	1	AD	Passing			
israchz260422B	8	lGP053336.MP4	13251	rGP053692.MP4	14207	48.06218	Time seabed	43.03355	1833.07564	2133.04534	-8172.33785	14.07555	16.88031	62.75114	0.50780	8642.75157	18.75015	Pomacentridae	Chromis	chromis	1706	1	AD	Passing			
israchz260422B	9	lGP053336.MP4	13251	rGP053692.MP4	14207	48.06218	Time seabed	43.03355	2987.23012	2402.65219	-8518.70762	24.04315	20.04797	69.32501	3.21362	9341.55559	24.03010	Pomacentridae	Chromis	chromis	1706	1	AD	Passing			
israchz260422D	2	lGP023337.MP4	22870	rGP023693.MP4	23593	24.11020	Time seabed	18.10253	-155.65162	-174.92124	-1190.11877	0.41360	0.41911	1.40030	0.31682	1212.93345	11.37037	Tetraodontidae	Lagocephalus	sceleratus	4761	1	J	Passing			
israchz260422E	2	lGP014949.MP4	9559	rGP018450.MP4	10716	11.53347	Time seabed	4.58875	673.47305	-475.22710	-1753.28292	1.19039	0.95589	3.02922	0.03606	1937.37135	25.41063	Nemipteridae	Nemipterus	randalli	5852	1	AD	Passing			
israchz260422F	2	lGP043338.MP4	26163	rGP043694.MP4	27027	42.77690	Time seabed	36.78981	-320.92191	-183.82870	-1543.74097	0.64746	0.54429	2.32565	2.31410	1587.42560	13.63389	Nemipteridae	Nemipterus	randalli	5852	2	AD	Passing			
israchz260422J	3	lGP043340.MP4	11765	rGP043696.MP4	12756	38.77346	Time seabed	25.86556	303.40776	-242.59399	-782.35930	0.32458	0.32112	0.69009	0.11039	873.49538	26.60610	Sparidae	Dentex	maroccanus	4538	1	AD	Passing			
israchz260521A	16	lGP023274.MP4	11685	rGP023631.MP4	10766	21.00015	Time seabed	17.06761	-1577.30374	111.15882	-4649.33974	6.95545	1.54601	20.75818	1.30564	4910.86585	18.76741	Mullidae	Parupeneus	forsskali	10994	1	AD	Passing			
israchz260521A	29	lGP053274.MP4	3850	rGP053631.MP4	2931	45.44818	Time seabed	41.51564	1320.76854	565.45480	-3014.00772	3.85352	1.95242	9.02222	1.39875	3338.92366	25.39213	Pomacentridae	Chromis	chromis	1706	9	AD	Passing			
israchz260521A	31	lGP053274.MP4	5479	rGP053631.MP4	4560	45.90113	Time seabed	41.96859	-22.58758	772.58459	-7824.91756	2.38237	6.27159	56.42260	8.22090	7862.99765	5.39976	Siganidae	Siganus	luridus	4613	27	AD	Passing			
israchz260521B	0	lGOPR4884.MP4	18548	rGOPR8386.MP4	19230	5.15737	Time seabed	0.07396	-1181.77763	-435.09465	-2202.18930	2.38710	1.10644	4.73469	1.19554	2536.83729	29.90481	Tetraodontidae	Torquigener	flavimaculosus	26639	1	AD	Passing			
israchz260521B	8	lGP064884.MP4	6741	rGP068386.MP4	7423	55.12757	Time seabed	50.04416	812.39616	-117.26108	-2118.19325	1.68622	0.69035	4.36521	2.96571	2271.66906	21.24295	Tetraodontidae	Lagocephalus	sceleratus	4761	1	AD	Passing			
israchz260521D	0	lGP024885.MP4	30810	rGP028387.MP4	31657	26.31796	Time seabed	20.09285	-1111.57145	-334.04397	-2354.78829	2.47864	1.02776	5.47516	0.43271	2625.30081	26.35756	Nemipteridae	Nemipterus	randalli	5852	1	AD	Passing			
israchz260521E	1	lGP023276.MP4	1060	rGP023633.MP4	2005	18.04581	Time seabed	10.09648	-114.43896	-307.49787	-2006.55455	0.65972	0.83602	3.83556	2.82079	2033.20249	9.51326	Nemipteridae	Nemipterus	randalli	5852	2	AD	Passing			
israchz270521A	18	lGP053278.MP4	18192	rGP053635.MP4	19091	49.43605	Time seabed	43.78318	-481.97337	-498.84211	-1689.15158	0.89901	0.96170	2.82521	1.48901	1826.02707	22.49959	Muraenidae	Muraena	helena	1729	1	AD	Passing			
israchz270521F	2	lGP084890.MP4	21560	rGP088392.MP4	22492	76.99914	Time seabed	59.24808	403.00070	-499.78865	-1692.20072	0.80465	0.94810	2.78653	0.07837	1809.90097	21.09256	Sparidae	Pagellus	erythrinus	893	1	AD	Passing			
isrnaha010322A	6	lGP043325.MP4	4410	rGP043681.MP4	5324	36.72836	Time seabed	27.85282	-432.57614	-150.64885	-1593.00713	0.78265	0.54043	2.49254	0.88027	1657.55510	16.14975	Tetraodontidae	Torquigener	flavimaculosus	26639	2	AD	Passing			
isrnaha010322A	11	lGP053325.MP4	8492	rGP053681.MP4	9406	46.73891	Time seabed	37.86338	603.11371	-175.66235	-5968.33176	3.72834	1.98488	32.99014	0.85387	6001.29881	6.10509	Mullidae	Parupeneus	forsskali	10994	1	AD	Passing			
isrnaha010322B	2	lGP044936.MP4	13931	rGP048438.MP4	14867	39.37573	Time seabed	33.41032	-3131.96773	14.40333	-6561.21194	19.66030	2.09052	42.05902	4.52595	7270.41480	25.51858	Dasyatidae	Taeniura	grabata	8969	2	AD	Passing			
isrnaha010322B	5	lGP064936.MP4	20829	rGP068438.MP4	21765	59.04482	Time seabed	53.07942	-26.04881	-184.42443	-1201.48445	0.39025	0.42743	1.42179	0.39304	1215.83543	9.20589	Tetraodontidae	Torquigener	flavimaculosus	26639	10	AD	Passing			
isrnaha010322C	2	lGP013326.MP4	20846	rGP013682.MP4	21707	14.67188	Time seabed	7.17161	968.94798	-336.95283	-2106.23184	2.01311	0.94844	4.51868	0.25362	2342.77825	26.07521	Nemipteridae	Nemipterus	randalli	5852	1	AD	Passing			
isrnaha010322F	18	lGP074938.MP4	17765	rGP078440.MP4	19111	67.06839	Time seabed	59.65543	-1712.60529	872.21584	-5184.69346	8.46377	4.78810	25.87688	3.60718	5529.45057	20.16178	Carangidae	Trachurus	mediterraneus	1278	6	AD	Passing			
isrnaha010322H	1	lGP074939.MP4	25532	rGP078441.MP4	26522	69.22805	Time extra	3.21182	-578.98703	-425.56826	-1482.64260	0.90592	0.77079	2.24416	0.96439	1647.59322	26.09458	Mullidae	Upeneus	moluccensis	4444	1	AD	Passing			
isrnaha121119A	10	laisrnaha121119A.MP4	27798	raisrnaha121119A.MP4	27715	7.72939	Time seabed	2.21944	-787.65154	-438.98955	-1669.42066	1.34940	0.87507	2.80448	1.18594	1897.38560	28.66500	Gobiidae	Gobius	bucchichi	46334	1	AD	Passing			
isrnaha121119A	14	laisrnaha121119A.MP4	31053	raisrnaha121119A.MP4	30970	8.63446	Time seabed	3.12451	-1447.46731	479.02796	-3885.50008	5.49538	2.30886	14.68503	0.16474	4173.93582	21.24781	Pomacentridae	Chromis	chromis	1706	3	AD	Passing			
isrnaha121119A	22	lbisrnaha121119A.MP4	13831	rbisrnaha121119A.MP4	13748	12.72132	Time seabed	7.21137	12.98843	-223.17831	-1148.94424	0.38826	0.44363	1.34813	0.46007	1170.49140	11.59617	Siganidae	Siganus	luridus	4613	2	AD	Passing			
isrnaha121119A	44	lbisrnaha121119A.MP4	21393	rbisrnaha121119A.MP4	21310	14.82398	Time seabed	9.31403	17.61136	-209.85331	-1146.68305	0.38715	0.43485	1.34281	2.30192	1165.86045	10.99095	Serranidae	Serranus	scriba	1761	1	AD	Passing			
