OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
israchz040221A	0	0	2380.54145	1323.96262	2489.77964	1451.81308
israchz040221A	0	1	2444.38195	1326.80374	2564.96957	1461.75701
israchz040221A	1	0	1718.01889	1456.07477	1628.64218	1505.79439
israchz040221A	1	1	2540.85205	1112.29907	2671.37041	1218.84112
israchz040221A	2	0	295.76810	1512.89720	308.98531	1400.67290
israchz040221A	2	1	1467.59601	1206.05607	1429.74082	1227.36449
israchz040221A	3	0	1382.07660	1343.85047	1631.56453	1372.26168
israchz040221A	4	0	1750.47429	1456.07477	1882.54355	1518.57944
israchz040221A	4	1	1825.66422	1396.41121	1946.38405	1467.43925
israchz040221A	5	0	2633.06611	1322.54206	2682.71983	1477.38318
israchz040221A	5	1	2549.36411	1356.63551	2593.34313	1502.95327
israchz040221A	6	0	2550.78279	1306.91589	2618.87933	1440.44860
israchz040221A	6	1	2628.81007	1281.34579	2688.39454	1424.82243
israchz040221A	7	0	2434.45121	1345.27103	2435.86988	1473.12150
israchz040221A	7	1	2485.52361	1339.58879	2491.19832	1467.43925
israchz040221A	8	0	2103.89927	820.30841	2506.80378	869.54206
israchz040221A	9	0	331.26128	788.23364	810.14690	775.87850
israchz040221A	9	1	191.52151	804.57009	689.55929	785.11215
israchz040221A	10	0	1343.88038	1021.41121	916.56978	1010.41121
israchz040221A	10	1	1987.96013	853.78505	1668.46905	886.82243
israchz040221A	11	0	1569.05771	1338.16822	1058.33368	1343.85047
israchz040221A	11	1	2408.91501	1261.45794	2034.38405	1343.85047
israchz040221A	12	0	831.01154	1413.45794	779.35047	1368.71028
israchz040221A	12	1	391.93075	1517.15888	321.11752	1412.03738
israchz040221A	13	0	2525.24659	1345.27103	2528.08395	1479.51402
israchz040221A	13	1	2560.00420	1323.96262	2595.47114	1463.17757
israchz040221A	14	0	219.89507	376.44860	681.37775	392.18692
israchz040221A	14	1	746.22455	345.19626	1172.24029	356.67290
israchz040221B	0	0	1810.35992	747.39252	1956.35677	782.67290
israchz040221B	0	1	1679.84155	825.52336	1801.72088	850.85981
israchz040221B	1	0	2024.58027	772.96262	2130.85414	823.86916
israchz040221B	1	1	1940.87828	825.52336	1994.66107	872.16822
israchz040221B	2	0	2241.63799	845.41121	2320.95698	913.36449
israchz040221B	2	1	2092.67681	851.09346	2153.55299	913.36449
israchz040221B	3	0	2519.57188	847.85981	2655.76495	948.75701
israchz040221B	3	1	2343.65582	852.12150	2455.73137	933.13084
israchz040221B	4	0	2590.50577	1059.45794	2696.90661	1186.16822
israchz040221B	4	1	2475.59286	1085.02804	2529.50262	1198.95327
israchz040221B	5	0	1501.24029	1177.09346	1428.03987	1186.41121
israchz040221B	5	1	1459.38930	1192.71963	1393.28227	1197.77570
israchz040221B	6	0	1259.91501	1049.99065	1361.10913	1044.38318
israchz040221B	6	1	1308.85939	1045.01869	1405.79748	1042.96262
israchz040221B	7	0	1637.31794	1142.13084	1529.66737	1167.70093
israchz040221B	7	1	1397.56139	1217.42056	1285.65477	1210.31776
israchz040221B	8	0	1787.43232	916.60748	1905.15215	950.85981
israchz040221B	8	1	1595.91081	956.38318	1699.44386	982.11215
israchz040221B	9	0	1175.29381	1059.82243	1200.08290	1043.18692
israchz040221B	9	1	1023.49528	1130.85047	1029.84155	1097.16822
israchz040221B	10	0	2174.38195	1392.14953	2014.72823	1493.00935
israchz040221B	10	1	2082.87723	1357.34579	1931.73557	1448.26168
israchz040221B	11	0	1594.54145	1135.96262	1492.04302	1153.51402
