OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
israchz040221A	0	lGP013260.MP4	23271	rGP013618.MP4	25004	15.34616	Time seabed	8.34417	64.59381	4.52507	1.09890	2607.21235	29.94963	26.39875	1.24951	1138.77363	-630.40573	-2259.05721	Tetraodontidae	Torquigener	flavimaculosus	26639	4	AD	Passing			
israchz040221A	1	lGP033260.MP4	5119	rGP033618.MP4	6852	28.04997	Time seabed	21.04797	965.93030	2.67151	3.13247	2301.93129	23.56003	5.34702	16.45970	758.67635	-520.57837	-2110.04645	Carangidae	Seriola	dumerili	1005	1	AD	Passing			
israchz040221A	2	lGP033260.MP4	5606	rGP033618.MP4	7339	28.18538	Time seabed	21.18338	1087.37423	2.34828	0.31739	2233.78033	17.86143	12.37458	9.26661	-428.07557	-534.94195	-2126.11452	Carangidae	Seriola	dumerili	1005	1	AD	Passing			
israchz040221A	4	lGP033260.MP4	9783	rGP033618.MP4	11516	29.34682	Time seabed	22.34482	170.36606	8.11262	2.50633	3059.33892	20.70758	62.03751	38.27448	632.31430	-877.73674	-2861.69731	Mullidae	Parupeneus	forsskali	10994	1	AD	Passing			
israchz040221A	5	lGP033260.MP4	11880	rGP033618.MP4	13613	29.92990	Time seabed	22.92790	85.49084	4.09410	2.00165	2280.62926	32.76140	54.76232	30.26845	1100.74598	-558.09400	-1917.85276	Labridae	Coris	julis	58	1	M	Passing			
israchz040221A	6	lGP033260.MP4	13223	rGP033618.MP4	14956	30.30333	Time seabed	23.30133	100.21561	5.00467	4.45176	2315.79386	32.43535	79.59152	24.48834	1126.56335	-523.06274	-1954.52336	Labridae	Coris	julis	58	1	F	Passing			
israchz040221A	7	lGP033260.MP4	13223	rGP033618.MP4	14956	30.30333	Time seabed	23.30133	45.54709	3.82907	4.19660	2225.03309	30.11536	40.07754	16.44819	969.92135	-552.80058	-1924.69124	Labridae	Coris	julis	58	1	F	Passing			
israchz040221A	9	lGP043260.MP4	14976	rGP043618.MP4	16709	39.66629	Time seabed	32.66430	354.01934	26.75281	3.60083	6958.61948	20.19580	18.23873	5.58225	-2401.29342	-70.22711	-6530.79192	Scombridae	Euthynnus	alletteratus	97	1	AD	Passing	2		
israchz040221A	10	lGP043260.MP4	22398	rGP043618.MP4	24131	41.73002	Time seabed	34.72803	483.47538	1.01202	2.43259	1454.83767	5.85677	13.27967	10.22947	91.57794	-116.84280	-1447.24355	Tetraodontidae	Lagocephalus	sceleratus	4761	1	AD	Passing			
israchz040221A	11	lGP043260.MP4	23047	rGP043618.MP4	24780	41.91048	Time seabed	34.90848	559.46921	0.88409	5.86464	1386.03160	17.64602	3.02970	1.50099	256.68199	-332.63304	-1320.81536	Tetraodontidae	Lagocephalus	sceleratus	4761	1	AD	Passing			
israchz040221A	12	lGP043260.MP4	23161	rGP043618.MP4	24894	41.94218	Time seabed	34.94018	414.80132	3.87513	1.09372	2157.50988	24.24658	41.30034	1.57307	-669.52736	-580.30292	-1967.18848	Tetraodontidae	Lagocephalus	sceleratus	4761	1	AD	Passing			
israchz040221A	13	lGP053260.MP4	22583	rGP053618.MP4	24316	50.65700	Time seabed	43.65500	78.79660	3.59875	3.82575	2227.82988	31.64401	32.54912	3.23919	1035.62620	-541.84155	-1896.60542	Mullidae	Parupeneus	forsskali	10994	2	J	Passing			
israchz040221A	14	lGP073260.MP4	28020	rGP073618.MP4	29753	69.91985	Time extra	2.90985	1295.40204	25.53279	6.51866	5988.28090	18.02932	32.61293	8.55037	-1571.68204	982.28745	-5694.24578	Scombridae	Scomberomorus	commerson	121	1	AD	Passing			
israchz040221B	0	lGOPR4873.MP4	21121	rGOPR8375.MP4	22007	5.87281	Time seabed	0.00000	222.54550	3.22235	1.17917	3068.34637	10.42513	11.77316	25.24359	552.57461	-54.12397	-3017.69470	Siganidae	Siganus	luridus	4613	1	AD	Passing			
israchz040221B	1	lGOPR4873.MP4	21121	rGOPR8375.MP4	22007	5.87281	Time seabed	0.00000	238.09093	6.46413	0.96723	2715.76282	15.59685	42.73265	13.03841	726.46685	-73.53178	-2615.76121	Siganidae	Siganus	luridus	4613	1	AD	Passing			
israchz040221B	2	lGOPR4873.MP4	21121	rGOPR8375.MP4	22007	5.87281	Time seabed	0.00000	164.86763	3.51635	1.94236	2616.52726	19.86544	13.97679	1.76332	879.20124	-132.49222	-2460.82626	Siganidae	Siganus	luridus	4613	1	AD	Passing			
israchz040221B	3	lGOPR4873.MP4	21215	rGOPR8375.MP4	22101	5.89895	Time seabed	0.02614	181.60022	4.86778	1.57183	2718.09699	26.09388	25.28410	0.36971	1186.49926	-146.72094	-2441.05382	Siganidae	Siganus	luridus	4613	1	AD	Passing			
israchz040221B	4	lGOPR4873.MP4	21261	rGOPR8375.MP4	22147	5.91174	Time seabed	0.03893	177.61475	3.98156	3.15868	2587.52931	28.69381	19.23682	3.73921	1185.21884	-372.40125	-2269.77566	Siganidae	Siganus	luridus	4613	1	AD	Passing			
israchz040221B	5	lGOPR4873.MP4	29921	rGOPR8375.MP4	30807	8.31970	Time seabed	2.44689	51.37613	4.05496	0.26973	2323.22578	10.71391	37.22331	21.24282	49.63001	-429.03865	-2282.72659	Labridae	Coris	julis	58	1	F	Passing			
israchz040221B	6	lGP024873.MP4	25358	rGP028375.MP4	26244	24.80200	Time seabed	18.92919	66.65874	4.30302	0.58329	3035.20546	7.19298	20.06107	5.71628	-81.07703	-371.29393	-3011.31857	Labridae	Coris	julis	58	1	M	Passing			
israchz040221B	7	lGP034873.MP4	9100	rGP038375.MP4	9986	29.15691	Time seabed	23.28409	237.11222	1.06254	1.33302	2181.76602	10.70457	2.08810	13.71848	62.78388	-400.35918	-2143.79889	Serranidae	Epinephelus	costae	9224	1	AD	Passing			
israchz040221B	8	lGP034873.MP4	10177	rGP038375.MP4	11063	29.45637	Time seabed	23.58356	260.71124	2.31158	3.38212	3009.59355	9.93160	3.82697	10.18795	456.67221	-246.75065	-2964.49286	Serranidae	Epinephelus	costae	9224	1	AD	Passing			
