OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
isrnort010920B	4	lGP023230.MP4	23354	rGP023589.MP4	22053	24.24478	Time seabed	17.45244	-1071.43430	642.44266	-9421.92797	9.63295	6.59234	81.98563	5.69812	9504.39007	7.43164	Serranidae	Variola	louti	5354	1	AD	Passing			
isrnort010920B	6	lGP053230.MP4	13921	rGP053589.MP4	12620	48.24848	Time seabed	41.45614	-30.49188	-221.38758	-839.73331	0.28631	0.32374	0.73007	6.11493	868.96159	15.14194	Muraenidae	Gymnothorax	elegans	23130	1	AD	Passing			
isrnort010920C	0	lGP024844.MP4	17900	rGP028343.MP4	19173	22.72826	Time seabed	16.14446	27.61023	-205.54376	-811.20876	0.27606	0.30522	0.67858	0.82512	837.29935	14.74091	Scorpaenidae	Pterois	miles	7797	1	AD	Passing			
isrnort010920C	1	lGP054844.MP4	9671	rGP058343.MP4	10944	47.06674	Time seabed	40.48294	-1016.52120	-582.50451	-2403.73056	2.32962	1.50082	5.68026	1.02338	2674.05076	26.18771	Mullidae	Parupeneus	heptacanthus	5991	1	AD	Passing			
isrnort010920D	12	lGP053231.MP4	9068	rGP053590.MP4	10365	46.89907	Time seabed	41.42249	1044.08780	-399.04538	-2417.12597	2.46902	1.19525	5.85252	0.27578	2663.05360	24.90431	Mullidae	Parupeneus	forsskali	10994	1	AD	Passing			
isrnort010920D	13	lGP053231.MP4	9068	rGP053590.MP4	10365	46.89907	Time seabed	41.42249	884.29178	-232.54464	-1809.49000	1.58951	0.70177	3.35354	3.76475	2027.38823	26.87038	Mullidae	Parupeneus	forsskali	10994	1	AD	Passing			
isrnort010920D	21	lGP063231.MP4	15630	rGP063590.MP4	16927	57.59921	Time seabed	52.12263	2433.34453	94.53802	-6046.76308	14.03600	2.00276	35.48754	3.35202	6518.69978	21.92775	Lethrinidae	Lethrinus	nebulosus	1846	1	AD	Passing			
isrnort010920F	3	lGP043232.MP4	26910	rGP043591.MP4	25701	42.98461	Time seabed	39.62542	986.09708	-49.34649	-2061.38957	2.00491	0.65363	4.32238	4.62529	2285.63984	25.60586	Dasyatidae	Himantura	uarnak	5507	1	AD	Passing			
isrnort010920F	4	lGP043232.MP4	29731	rGP043591.MP4	28522	43.76900	Time seabed	40.40981	187.99583	-420.61290	-1406.06745	0.50484	0.71216	1.95039	0.22613	1479.62270	18.36272	Muraenidae	Gymnothorax	angusticauda	27319	1	AD	Passing			
isrnort010920F	5	lGP043232.MP4	29731	rGP043591.MP4	28522	43.76900	Time seabed	40.40981	249.06320	-386.99001	-1192.05726	0.46151	0.58310	1.43377	6.79299	1277.80838	21.31324	Muraenidae	Gymnothorax	angusticauda	27319	1	AD	Passing			
