OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
isrnort010920A	0	0	1613.29066	865.00000	997.65792	868.31776
isrnort010920A	0	1	1902.70094	737.14953	1299.83631	761.77570
isrnort010920A	1	0	2262.96642	916.85047	1728.72088	980.63551
isrnort010920A	1	1	2004.76705	896.25234	1491.09234	933.04673
isrnort010920A	2	0	1682.51102	389.23364	1018.97482	403.43925
isrnort010920A	2	1	1292.37461	205.98131	601.88353	231.55140
isrnort010920A	3	0	1378.04407	451.73832	812.73033	458.84112
isrnort010920A	3	1	1101.40189	234.39252	578.64848	255.70093
isrnort010920A	4	0	139.03043	160.52336	38.30430	180.41121
isrnort010920A	4	1	472.41973	55.40187	323.45855	86.65421
isrnort010920A	5	0	1481.78804	1204.63551	783.11018	1176.22430
isrnort010920A	5	1	1024.97377	1211.73832	317.78384	1140.71028
isrnort010920A	6	0	2272.98006	335.54206	2591.21511	360.81308
isrnort010920A	6	1	2050.95698	290.79439	2339.39979	303.99065
isrnort010920A	7	0	2097.82162	98.01869	2597.59916	98.01869
isrnort010920A	7	1	1980.07135	128.56075	2435.16055	132.82243
isrnort010920A	8	0	2113.04302	207.40187	2599.72718	212.37383
isrnort010920A	8	1	1967.62854	213.08411	2433.74187	224.44860
isrnort010920A	9	0	2061.92970	136.37383	2234.41763	133.53271
isrnort010920A	9	1	1695.91081	201.71963	1884.00420	203.14019
isrnort010920A	10	0	1364.98006	1159.62617	1201.76600	1159.67290
isrnort010920A	10	1	1772.14061	983.47664	1725.25813	1011.93458
isrnort010920B	0	0	2146.65268	571.68224	2536.59601	591.81308
isrnort010920B	0	1	2187.08499	539.71963	2596.18048	560.56075
isrnort010920B	1	0	2214.62120	433.80374	2621.71668	441.22430
isrnort010920B	1	1	2188.37566	481.39252	2588.37775	497.33645
isrnort010920B	2	0	1937.29591	667.24299	2393.30955	700.41121
isrnort010920B	2	1	1845.79119	676.47664	2290.45540	703.96262
isrnort010920B	3	0	1115.07765	590.35514	1607.05666	604.80374
isrnort010920B	3	1	999.45540	669.90654	1473.70094	675.83178
isrnort010920B	4	0	837.01994	602.31776	1339.23190	608.00000
isrnort010920B	5	0	429.15005	188.22430	910.15005	211.98131
isrnort010920B	5	1	279.47954	197.45794	770.41028	235.42056
isrnort010920B	6	0	1827.92550	1312.95327	721.02938	1347.82243
isrnort010920B	7	0	1741.75971	744.13084	2180.01574	778.76636
isrnort010920B	7	1	1792.12277	718.56075	2233.21616	752.48598
isrnort010920B	8	0	2193.43757	303.32710	2533.04932	297.53271
isrnort010920B	8	1	2124.63169	340.97196	2462.11542	344.41121
isrnort010920B	9	0	1428.18363	980.52336	666.06925	967.23364
isrnort010920B	9	1	995.48688	957.79439	189.39349	931.00935
isrnort010920B	10	0	2001.35152	618.59813	2434.45121	658.83178
isrnort010920B	10	1	2055.97062	647.71963	2496.16369	692.21495
isrnort010920B	11	0	1132.66632	918.82243	1381.86044	923.79439
isrnort010920B	11	1	1236.93914	893.96262	1488.26128	897.51402
isrnort010920B	12	0	1465.38195	1099.90654	1316.86674	1119.54206
isrnort010920B	12	1	1353.30640	1105.58879	1211.17524	1126.64486
isrnort010920B	13	0	2123.54460	1095.57944	1895.45121	1162.79439
isrnort010920B	13	1	1982.38615	1075.69159	1752.87408	1135.09346
isrnort010920B	14	0	670.81532	465.76636	839.40399	487.07477
isrnort010920B	14	1	1000.65792	425.28037	1196.20147	428.83178
isrnort010920B	15	0	2100.16055	733.35514	2344.54460	778.24299
isrnort010920B	15	1	1954.03673	742.58879	2181.39664	788.89720
isrnort010920B	16	0	1212.48583	307.68224	1391.04617	312.71963
isrnort010920B	16	1	1062.10598	254.41121	1236.41028	280.04673
isrnort010920C	0	0	2076.94439	1287.02804	862.55614	1306.91589
isrnort010920C	1	0	419.92865	1375.10280	485.18783	1255.77570
isrnort010920C	2	0	420.09549	762.47664	441.31375	719.65421
isrnort010920C	2	1	614.45435	833.50467	645.60336	782.86916
isrnort010920C	3	0	291.53830	1246.18692	287.99161	1124.21495
isrnort010920C	3	1	34.04827	1220.61682	68.09654	1073.78505
isrnort010920C	4	0	1408.46590	1121.16822	1490.31689	1128.90654
isrnort010920C	4	1	1585.09129	1125.42991	1682.54774	1150.21495
isrnort010920C	5	0	2057.64218	992.45794	2331.59706	1069.61682
isrnort010920C	5	1	2173.26443	990.32710	2457.15005	1078.14019
isrnort010920C	6	0	1145.48898	1110.05607	1354.82162	1094.82243
isrnort010920C	6	1	989.43442	1097.98131	1193.09234	1073.51402
isrnort010920C	7	0	665.47219	1213.31776	329.84260	1128.59813
isrnort010920C	7	1	527.86044	1069.13084	100.01679	970.20561
isrnort010920C	8	0	667.28122	1014.68224	1061.48583	967.00000
