OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
isrnort010920A	0	lGP024843.MP4	8206	rGP028342.MP4	8909	20.03279	Time seabed	13.85495	176.43218	0.56694	1.59890	1214.90663	2.13341	0.64066	20.69728	32.65714	-31.28844	-1214.06452	Sparidae	Argyrops	megalommatus	61176	1	AD	Passing			
isrnort010920A	1	lGP024843.MP4	8971	rGP028342.MP4	9674	20.24550	Time seabed	14.06766	146.36865	1.11214	1.59197	1317.92865	13.00746	22.85825	6.24422	277.93373	-103.66345	-1284.11162	Sparidae	Argyrops	megalommatus	61176	1	AD	Passing			
isrnort010920A	2	lGP044843.MP4	24756	rGP048342.MP4	25459	42.38568	Time seabed	36.20784	225.23160	0.72643	2.09160	1133.62542	12.79939	17.65622	20.50861	-122.50765	219.23449	-1105.45678	Monacanthidae	Thamnaconus	modestoides	7855	1	AD	Passing			
isrnort010920A	3	lGP044843.MP4	24813	rGP048342.MP4	25516	42.40153	Time seabed	36.22369	184.93394	0.67336	2.22028	1261.73328	14.93270	2.43650	39.23219	-238.62739	220.82962	-1219.12351	Monacanthidae	Thamnaconus	modestoides	7855	1	AD	Passing			
isrnort010920A	4	lGP044843.MP4	24813	rGP048342.MP4	25516	42.40153	Time seabed	36.22369	212.89140	1.83275	1.66633	1810.89452	30.78505	19.53021	24.44323	-810.17959	450.17726	-1555.72762	Monacanthidae	Thamnaconus	modestoides	7855	1	AD	Passing			
isrnort010920A	5	lGP054843.MP4	4254	rGP058342.MP4	4957	45.56052	Time seabed	39.38268	235.31843	0.78724	2.55966	1153.60351	16.65121	17.22043	4.99002	-251.84578	-214.10974	-1105.22929	Ostraciidae	Tetrosomus	gibbosus	8129	1	AD	Passing			
isrnort010920A	6	lGP054843.MP4	15332	rGP058342.MP4	16035	48.64081	Time seabed	42.46298	349.82814	8.32820	2.07597	3809.56147	24.09453	22.70130	17.05115	1404.29134	668.35601	-3477.64643	Carangidae	Seriola	dumerili	1005	1	AD	Passing	1		
isrnort010920A	7	lGP054843.MP4	15541	rGP058342.MP4	16244	48.69893	Time seabed	42.52109	543.46063	25.44940	8.07040	6312.82401	25.61468	31.26575	16.61279	2200.79356	1613.91219	-5692.41092	Carangidae	Seriola	dumerili	1005	1	AD	Passing	1		
isrnort010920A	8	lGP054843.MP4	15576	rGP058342.MP4	16279	48.70866	Time seabed	42.53082	401.00840	33.55242	5.24236	6390.81528	24.40076	44.40462	6.42923	2241.72384	1394.65810	-5819.97619	Carangidae	Seriola	dumerili	1005	1	AD	Passing	1		
isrnort010920A	9	lGP064843.MP4	21965	rGP068342.MP4	22668	59.36069	Time seabed	53.18285	530.57467	8.63942	1.97677	3136.80402	19.79845	44.92835	0.85449	738.65665	763.70050	-2951.38736	Serranidae	Variola	louti	5354	1	AD	Passing			
