OpCode	ImagePtPair	Lx	Ly	Rx	Ry	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Code	Number
israchz040221A	0	2412.4617	1325.38318	2527.374605	1456.785045	lGP013260	23271	rGP013618	25004	15.34616	26639.0	4
israchz040221A	1	2129.43547	1284.18692	2150.006295	1362.317755	lGP033260	5119	rGP033618	6852	28.04997	1005.0	1
israchz040221A	2	881.682055	1359.476635	869.363065	1314.018695	lGP033260	5606	rGP033618	7339	28.18538	1005.0	1
israchz040221A	3	1382.0766	1343.85047	1631.56453	1372.26168	lGP033260	8073	rGP033618	9806	28.87134	2500	1
israchz040221A	4	1788.0692549999999	1426.24299	1914.4638	1493.009345	lGP033260	9783	rGP033618	11516	29.34682	10994.0	1
israchz040221A	5	2591.21511	1339.588785	2638.03148	1490.168225	lGP033260	11880	rGP033618	13613	29.9299	58.0	1
israchz040221A	6	2589.7964300000003	1294.13084	2653.636935	1432.635515	lGP033260	13223	rGP033618	14956	30.30333	58.0	1
israchz040221A	7	2459.98741	1342.42991	2463.5341	1470.2803749999998	lGP033260	13223	rGP033618	14956	30.30333	58.0	1
israchz040221A	8	2103.89927	820.30841	2506.80378	869.54206	lGP033260	21159	rGP033618	22892	32.50998	58	11
israchz040221A	9	261.391395	796.401865	749.8530949999999	780.4953250000001	lGP043260	14976	rGP043618	16709	39.66629	97.0	1
israchz040221A	10	1665.920255	937.59813	1292.519415	948.61682	lGP043260	22398	rGP043618	24131	41.73002	4761.0	1
israchz040221A	11	1988.98636	1299.81308	1546.358865	1343.85047	lGP043260	23047	rGP043618	24780	41.91048	4761.0	1
israchz040221A	12	611.471145	1465.30841	550.233995	1390.37383	lGP043260	23161	rGP043618	24894	41.94218	4761.0	1
israchz040221A	13	2542.625395	1334.616825	2561.777545	1471.3457950000002	lGP053260	22583	rGP053618	24316	50.657	10994.0	2
israchz040221A	14	483.05981	360.82243	926.8090199999999	374.42991	lGP073260	28020	rGP073618	29753	69.91985	121.0	1
israchz040221B	0	1745.100735	786.45794	1879.038825	816.766355	lGOPR4873	21121	rGOPR8375	22007	5.87281	4613.0	1
israchz040221B	1	1982.729275	799.24299	2062.757605	848.01869	lGOPR4873	21121	rGOPR8375	22007	5.87281	4613.0	1
israchz040221B	2	2167.1574	848.252335	2237.254985	913.36449	lGOPR4873	21121	rGOPR8375	22007	5.87281	4613.0	1
israchz040221B	3	2431.6138499999997	849.9906550000001	2555.74816	940.943925	lGOPR4873	21215	rGOPR8375	22101	5.89895	4613.0	1
israchz040221B	4	2533.049315	1072.24299	2613.204615	1192.560745	lGOPR4873	21261	rGOPR8375	22147	5.91174	4613.0	1
israchz040221B	5	1480.314795	1184.906545	1410.66107	1192.093455	lGOPR4873	29921	rGOPR8375	30807	8.3197	58.0	1
israchz040221B	6	1284.3872000000001	1047.50467	1383.453305	1043.6729	lGP024873	25358	rGP028375	26244	24.802	58.0	1
israchz040221B	7	1517.4396649999999	1179.7757000000001	1407.66107	1189.009345	lGP034873	9100	rGP038375	9986	29.15691	9224.0	1
israchz040221B	8	1691.671565	936.49533	1802.298005	966.48598	lGP034873	10177	rGP038375	11063	29.45637	9224.0	1
israchz040221B	9	1099.3945449999999	1095.33645	1114.9622250000002	1070.17757	lGP034873	12474	rGP038375	13360	30.09506	9224.0	1
israchz040221B	10	2128.62959	1374.74766	1973.2319	1470.635515	lGP034873	23448	rGP038375	24334	33.14645	2500.0	1
israchz040221B	11	1527.86359	1147.3271049999998	1427.49318	1156.71028	lGP034873	30843	rGP038375	31729	35.20267	26639.0	2
israchz040221B	12	597.055615	1081.990655	719.75446	1012.42056	lGP034873	30937	rGP038375	31823	35.2288	26639.0	1
israchz040221B	13	387.94124	1120.2990650000002	377.349425	1021.66355	lGP044873	7265	rGP048375	8151	37.52221	4540.0	1
israchz040221B	14	261.74607	1333.90654	52.49108	1181.83178	lGP044873	7311	rGP048375	8197	37.535	4540	1
israchz040221B	15	2675.62644	1318.28037	2601.85519	1485.90654	lGP044873	29235	rGP048375	30121	43.63109	7797	1
israchz040221B	16	1159.9275949999999	828.654205	1208.415525	817.3644850000001	lGP074873	12477	rGP078375	13363	65.59803	4761.0	1
israchz040221B	17	1330.301155	1046.700935	1190.1175250000001	1036.88785	lGP074873	13002	rGP078375	13888	65.74401	4761.0	1
israchz040221B	18	1697.63484	814.42056	1753.9916050000002	841.280375	lGP074873	13100	rGP078375	13986	65.77126	4761.0	1
israchz040221B	19	247.55929	1063.028035	248.97796	960.86916	lGP074873	13112	rGP078375	13998	65.7746	4761.0	1
israchz040221B	20	1350.871985	1099.66355	1106.48059	1090.457945	lGP074873	13157	rGP078375	14043	65.78711	4761.0	1
israchz040221C	0	2150.0063	1359.476635	1990.8268600000001	1452.523365	lGOPR3261	21617	rGOPR3619	20891	6.01073	4540.0	1
israchz040221C	1	153.926545	894.0	432.69674999999995	862.4018699999999	lGP013261	13898	rGP013619	13172	12.73995	5444.0	1
israchz040221C	2	241.17523500000001	1032.626165	427.02203499999996	983.168225	lGP033261	2825	rGP033619	2099	27.41211	9224.0	1
israchz040221C	3	338.01574	992.7476650000001	590.543545	955.753275	lGP033261	2919	rGP033619	2193	27.43824	9224.0	1
israchz040221C	4	2337.981115	928.91589	2124.470095	979.1775700000001	lGP063261	29184	rGP063619	28458	61.36797	4761.0	1
